"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;7;"Horta-GuinardÃ³";35;"el GuinardÃ³";"Dones";"Demanda No Aturats";261
2022;1;7;"Horta-GuinardÃ³";36;"la Font d'en Fargues";"Dones";"Demanda No Aturats";79
2022;1;7;"Horta-GuinardÃ³";37;"el Carmel";"Dones";"Demanda No Aturats";271
2022;1;7;"Horta-GuinardÃ³";38;"la Teixonera";"Dones";"Demanda No Aturats";83
2022;1;7;"Horta-GuinardÃ³";39;"Sant GenÃ­s dels Agudells";"Dones";"Demanda No Aturats";50
2022;1;7;"Horta-GuinardÃ³";40;"Montbau";"Dones";"Demanda No Aturats";36
2022;1;7;"Horta-GuinardÃ³";41;"la Vall d'Hebron";"Dones";"Demanda No Aturats";39
2022;1;7;"Horta-GuinardÃ³";42;"la Clota";"Dones";"Demanda No Aturats";3
2022;1;7;"Horta-GuinardÃ³";43;"Horta";"Dones";"Demanda No Aturats";237
2022;1;8;"Nou Barris";44;"Vilapicina i la Torre Llobeta";"Dones";"Demanda No Aturats";219
2022;1;8;"Nou Barris";45;"Porta";"Dones";"Demanda No Aturats";196
2022;1;8;"Nou Barris";46;"el TurÃ³ de la Peira";"Dones";"Demanda No Aturats";141
2022;1;8;"Nou Barris";47;"Can Peguera";"Dones";"Demanda No Aturats";20
2022;1;8;"Nou Barris";48;"la Guineueta";"Dones";"Demanda No Aturats";156
2022;1;8;"Nou Barris";49;"Canyelles";"Dones";"Demanda No Aturats";76
2022;1;8;"Nou Barris";50;"les Roquetes";"Dones";"Demanda No Aturats";165
2022;1;8;"Nou Barris";51;"Verdun";"Dones";"Demanda No Aturats";126
2022;1;8;"Nou Barris";52;"la Prosperitat";"Dones";"Demanda No Aturats";220
2022;1;8;"Nou Barris";53;"la Trinitat Nova";"Dones";"Demanda No Aturats";83
2022;1;8;"Nou Barris";54;"Torre BarÃ³";"Dones";"Demanda No Aturats";22
2022;1;8;"Nou Barris";55;"Ciutat Meridiana";"Dones";"Demanda No Aturats";117
2022;1;8;"Nou Barris";56;"Vallbona";"Dones";"Demanda No Aturats";14
2022;1;9;"Sant Andreu";57;"la Trinitat Vella";"Dones";"Demanda No Aturats";108
2022;1;9;"Sant Andreu";58;"BarÃ³ de Viver";"Dones";"Demanda No Aturats";20
2022;1;9;"Sant Andreu";59;"el Bon Pastor";"Dones";"Demanda No Aturats";116
2022;1;9;"Sant Andreu";60;"Sant Andreu";"Dones";"Demanda No Aturats";471
2022;1;9;"Sant Andreu";61;"la Sagrera";"Dones";"Demanda No Aturats";254
2022;1;9;"Sant Andreu";62;"el CongrÃ©s i els Indians";"Dones";"Demanda No Aturats";124
2022;1;9;"Sant Andreu";63;"Navas";"Dones";"Demanda No Aturats";187
2022;1;10;"Sant MartÃ­";64;"el Camp de l'Arpa del Clot";"Dones";"Demanda No Aturats";294
2022;1;10;"Sant MartÃ­";65;"el Clot";"Dones";"Demanda No Aturats";190
2022;1;10;"Sant MartÃ­";66;"el Parc i la Llacuna del Poblenou";"Dones";"Demanda No Aturats";85
2022;1;10;"Sant MartÃ­";67;"la Vila OlÃ­mpica del Poblenou";"Dones";"Demanda No Aturats";55
2022;1;10;"Sant MartÃ­";68;"el Poblenou";"Dones";"Demanda No Aturats";190
2022;1;10;"Sant MartÃ­";69;"Diagonal Mar i el Front MarÃ­tim del Poblenou";"Dones";"Demanda No Aturats";88
